,Sample_Point_(SP),Year,Latitude,Longitude,Depth,Rake_Abundance,Rake_Abundance_#,Alisma_gramineum,Benthic_Filamentous_Algae,Callitriche_hermaphroditica,Ceratophyllum_demersum,Chara_vulgaris,Elodea_sp.,Floating_Filamentous_Algae,Fontinalis_sp.,Heteranthera_dubia,Hydrocharis_morsus-ranae,Hypericum_ellipticum,Lemna_minor,Lemna_trisulca,Megalodonta_beckii,Myriophyllum_sibiricum,Myriophyllum_spicatum,Najas_flexilis,Najas_guadalupensis,Nitella_flexilis,Nitellopsis_obtusa,Nuphar_variegata,Nymphaea_odorata,Pithophora_sp.,Polygonum_amphibium,Potamogeton_amplifolius,Potamogeton_crispus,Potamogeton_crispus_turions,Potamogeton_foliosus,Potamogeton_gramineus,Potamogeton_illinoensis,Potamogeton_pectinatus,Potamogeton_praelongus,Potamogeton_pusillus,Potamogeton_richardsonii,Potamogeton_zosteriformis,Ranunculus_trichophyllus,Riccia_fluitans,Spirodela_polyrhiza,Stuckenia_pectinata,Stuckenia_vaginata,Utricularia_vulgaris,Vallisneria_americana,Wolffia_columbiana,Zannichellia_palustris
33,34,2016,42.9748007,75.8823264,,M,37.75,,,,T,S,T,,,,,,,,,,S,T,T,,,,,,,,,,,,,,T,,,T,,,,,,,T,,
34,35,2016,42.9745808,75.8831918,,M,62.5,,,,S,S,T,,T,,,,,T,,,S,,,,,,,,,,,,,,S,,,,,T,,,,,,,,,
35,36,2016,42.9744812,75.8839023,,M,62.5,,,,S,S,S,,T,S,,,,T,S,,S,T,S,,T,,,,,S,,,,T,,,,,,T,T,,,,,,T,,
36,37,2016,42.974717,75.8804605,,M,37.75,,,,S,S,T,,,T,,,,T,T,,S,,,,T,,,,,T,,,,,,,,,,T,,,,T,,T,,,
37,38,2016,42.9745272,75.8812385,,D,250.0,,,,D,,S,,S,T,,,,T,,,M,,T,,S,,,,,S,T,,,,,,,,,S,,,,,,S,S,,
38,39,2016,42.9742522,75.8821871,,M,62.5,,,,M,,S,,T,T,,,,T,,,S,,S,,T,,,,,,T,,,,,,,T,,S,T,,,,,,,,
39,40,2016,42.9739459,75.8833035,,D,250.0,,,,M,M,S,,T,S,,,,T,,,M,,,,T,,,,,,T,,,,,,,,,S,,,,,,,S,,
40,41,2016,42.9737157,75.884369,,M,62.5,,,,S,S,S,,T,S,,,,T,,,M,,S,,T,,,,,,,,,,T,,,,,,S,,,,,,S,,
41,42,2016,42.9735318,75.8851375,,M,62.5,,,,M,,S,,T,T,,,,T,,,M,,T,,T,,,,,,T,,,,,,,,,T,T,,,,,,S,,
42,43,2016,42.9734209,75.8861874,,M,62.5,,,,M,,S,,T,,,,,T,,,S,,T,,,,,,,,T,,,,,,,T,,T,,,,,,,,,
43,44,2016,42.9732563,75.8871586,,M,62.5,,,,M,,T,,,,,,,,,,S,,,,S,,,,,,S,,,,,,,S,,T,,,,,,,,,
44,45,2016,42.9730965,75.8879853,,M,62.5,,,,S,S,S,,,T,,,,,,,M,,,,T,,,,,,T,,,,,,,T,,S,S,,,,,,,,
45,46,2016,42.9727927,75.8888289,,M,62.5,,,,S,S,T,,,T,,,,,,,M,,,,S,S,,,,,T,,,,,,,T,,T,T,,,,,,,,
46,47,2016,42.9722803,75.8881861,,M,62.5,,,,S,S,S,,,T,,,,,,,M,,,,S,,T,,,,T,,,,,,,,,T,T,,,,,,S,,
47,48,2016,42.9723151,75.8873411,,M,62.5,,,,S,,T,,,,,,,,,,M,,,,S,,,,,,T,,,,,,,,,T,,,,,,,,,
48,49,2016,42.9723966,75.8862069,,M,62.5,,,,S,,T,,,,,,,,,,S,,,,S,,,,,,,,,,,,,T,,T,,,,,,,,,
49,50,2016,42.9727738,75.8849941,,D,250.0,,,,D,,T,,,,,,,,,,M,,,,S,,,,,,,,,,,,,,,T,,,,S,,,,,
50,51,2016,42.9730606,75.8842895,,D,250.0,,,,D,,S,,,T,,,,,,,M,,,,S,,,,,,,,,,,,S,,,S,,,,,,,,,
51,52,2016,42.9732875,75.88337,,D,250.0,,,,D,,S,,,,,,,,,,D,,S,,,,,,,,,,,,,,,S,,S,,,,,,,,,
52,53,2016,42.9735879,75.8826265,,D,250.0,,,,M,,M,,,,,,,,,,D,,T,,,,,,,,T,,,,,,,S,,S,,,,,,,,,
53,54,2016,42.9737212,75.8815971,,D,250.0,,,,D,,M,,,T,,,,T,T,,D,,T,,,,,,,T,T,,,,,,S,T,,T,,,,,,T,,,
54,55,2016,42.9739382,75.8807551,,D,156.25,,,,S,S,S,,,T,,,,,T,,D,,T,,,,,,,,,,,T,,,S,,,T,,,,,,,T,,
55,56,2016,42.9743169,75.8799511,,M,62.5,,,,S,S,T,,T,T,,,,,,,M,,T,,S,,,,,,T,,,,T,,,,,T,T,,,,,T,T,,
56,57,2016,42.9736845,75.8794947,,S,13.0,,,,S,S,T,,,,,,,,,,S,,T,,,,,,,S,,,,,,,,,,T,T,,,,,,T,,
57,58,2016,42.9734881,75.8801008,,D,250.0,,,,M,,S,,M,,,,,,,,D,,,,,,,,,S,,,,,,,S,S,,S,,,,,,,S,,
58,59,2016,42.9730344,75.8811633,,S,6.75,,,,S,,T,,T,,,,,,,,S,,,,,,,,,,,,,,,,,T,,T,,,,,,,,,
59,60,2016,42.9725813,75.8825812,,D,250.0,,,,D,,S,,,,,,,,,,M,,,,,,,,,,T,,,,,,,S,,T,,,,S,,,,,
60,61,2016,42.9724011,75.883566,,D,250.0,,,,D,,T,,,,,,,,,,M,,,,,,,,,,T,,,,,,,S,,S,,,,,,,,,
61,62,2016,42.9721624,75.8844711,,M,62.5,,,,M,T,T,,T,,,,,,,,M,,,,T,,,,,S,,,,,,,,T,,T,T,,,,,,,,
62,63,2016,42.9719054,75.8852373,,D,250.0,,,,M,S,S,,,,,,,,,,D,,,,T,,,,,S,T,,,,T,,S,T,,S,T,,,T,,,,,
63,64,2016,42.9717794,75.8861146,,D,250.0,,,,S,S,S,,,T,T,,,,,,D,,,,S,M,,,,,,,,,T,,,S,,T,M,,,,,,,,
64,65,2016,42.9716586,75.8868663,,D,250.0,,,,S,S,S,,,T,S,,,,,,D,,,,S,S,,,,T,,,,,,,,S,,T,M,,,T,,,T,,
65,66,2016,42.9715393,75.8857554,,M,62.5,,,,S,S,S,,,T,,,,,,,S,T,,,T,,,,,,,,,T,,,,T,,S,S,,,,,,T,,
66,67,2016,42.9715242,75.8848803,,D,250.0,,,,M,M,S,,,S,,,,,,,D,T,T,,S,,,S,,,,,,,,,,,,T,S,,,,,,,,S
67,68,2016,42.9716138,75.8840747,,D,250.0,,,,M,,S,,T,,,,,,,,M,,,,,,,,,,S,,,,,,,M,,S,T,,,,,,,,
68,69,2016,42.971902,75.8833566,,D,156.25,,,,M,,S,,S,,,,,,,,M,,,,,,,,,,,,,T,,,,S,,S,,,,,,,,,
69,70,2016,42.972166,75.8825192,,D,250.0,,,,M,,S,,T,,,,,,,,D,,,,,,,,,,T,,,,,,,S,,T,,,,,,,,,
70,71,2016,42.9722997,75.8813674,,M,37.75,,,,S,,S,,,,,,,,T,,S,,T,,,,,,,T,,,,,,,,S,,T,,,,T,,,S,,
71,72,2016,42.9730035,75.879904,,D,250.0,,,,M,M,M,,,S,,,,,,,M,,,,,,,,,S,,,,S,,,S,,,T,,,,,,,M,,
72,73,2016,42.9732028,75.8792463,,M,62.5,,,,S,M,S,,,,,,,,,,S,T,T,,,,,,,T,,,,S,T,,,,,T,,,,T,,,T,,
73,74,2016,42.9722799,75.8787055,,M,62.5,,,,S,S,T,,,T,,,,,,,S,,T,,,,,,,,T,,,,T,,T,,,S,T,,,,,,S,,
74,75,2016,42.971908,75.8793918,,D,156.25,,,,M,T,S,,,,,,,,,,T,,,,,,,,,,,,,,,,T,D,,S,T,,,,,,T,,
75,76,2016,42.9716923,75.8804835,,T,0.5,,,,T,,T,,,,,,,,,,T,,,,,,,,,,T,,,,,,,T,,T,,,,,,,,,
76,77,2016,42.9714348,75.8818995,,D,250.0,,,,D,,S,,,T,,,,,S,,M,,T,,,,,,,,T,,,,,,,M,,S,,,,,,,S,,
77,78,2016,42.9712043,75.8832194,,D,250.0,,,,M,T,S,,,M,,,,,S,,M,,,,,,,,,S,,,,,,,,,,S,,,,,,,M,,
78,79,2016,42.9705937,75.8828932,,M,62.5,,,,S,S,S,,T,S,,,,T,S,,M,,T,,T,,,,,,,,,,,,,T,,T,T,,,S,,,S,,
79,80,2016,42.970566,75.8820202,,D,250.0,,,,S,,T,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,T,,,,S,T,,,,
80,81,2016,42.9707304,75.8809406,,T,0.25,,,,T,,T,,,T,,,,,T,,T,,,,,,,,,,T,,,,,,T,,,,,,,,,,,,
81,82,2016,42.97124,75.87953,,D,250.0,,,,D,D,S,,,S,,,,,,,S,,,,,,,,,S,,,,,,,,S,,S,,,,,,,S,,
82,83,2016,42.9710137,75.8783806,,M,62.5,,,,T,M,S,,,T,,,,,,,S,,T,T,S,,,,,S,,,,S,,,,,,T,T,,,,,,S,,
83,84,2016,42.9702305,75.8792937,,M,62.5,,,,S,S,S,,,T,,,,,,,M,,T,,S,,,,,,,,,T,S,,,T,,S,T,,,,,,S,,
84,85,2016,42.9699584,75.8802035,,D,250.0,,,,M,,S,,,T,,,,,,,D,,T,,,,,,,,,,,,T,,,T,,S,,,,,,,S,,
85,86,2016,42.9699251,75.8811233,,D,250.0,,,,M,,S,,,,,,,,,,D,,T,,T,,,,,,,,,,,,T,T,,S,,,,T,,,T,,
86,87,2016,42.9698364,75.8819048,,D,250.0,,,,S,M,S,,,S,,,,,S,,D,S,T,,,,,,,,,,,,S,,T,,,T,T,,,T,,,S,,
87,88,2016,42.9697445,75.8823727,,M,62.5,,,,S,M,S,,T,S,,,,,S,,S,T,T,,,,,,,,,,,T,S,,T,,,T,T,,,,,,T,,
88,89,2016,42.9690662,75.8821374,,M,37.75,,,,S,T,S,,T,T,,,,,T,,S,T,,,,,,,,,,,,T,,,T,,,S,T,,,T,,,T,,
89,90,2016,42.9690518,75.881357,,D,156.25,,,,S,,S,,,,,,,T,S,,D,,T,,,,,,,,,,,,,,,T,,S,,,,S,,,,,
90,91,2016,42.9690485,75.8802482,,M,62.5,,,,S,,S,,T,S,,,,,,,M,T,T,,S,,,,,,,,,,S,,,,,T,,,,,,T,T,,
91,92,2016,42.9690193,75.8790655,,M,62.5,,,,T,M,S,,T,S,,,,,,,S,,T,T,S,,,,,,,,,,S,,,T,,,,,,,,,T,,
92,93,2016,42.9690882,75.8782033,,S,13.0,,,,T,S,T,,,T,,,,,,,T,S,T,,,,,,,,,,,,,,,,,,T,,,,,,T,,
93,94,2016,42.9687384,75.8771237,,S,6.75,,,,,T,T,,,T,,,,,,,S,T,T,,T,,,,,,,,,T,T,,,,,,,,,,,,T,,
94,95,2016,42.968528,75.8780253,,M,62.5,,,,T,S,,,,,,,,,,,S,S,T,,,,,,,,,,,S,S,,S,,,,,,,,,S,T,,
95,96,2016,42.9682861,75.8790745,,M,31.5,,,,S,T,,,T,,,,,,,,M,T,T,,,,,,,,,,,,,,T,,,T,,,,T,T,T,T,,
96,97,2016,42.9680104,75.8800484,,D,156.25,,,,S,T,S,,T,,,,,,,,M,T,S,,T,,,,,S,,,,,,,,S,,S,S,,,,S,,,,T
97,98,2016,42.9679045,75.8807838,,M,62.5,,,,S,,S,,,,,,,,,,M,,,,,,,S,,S,,,,,,,,T,,S,,,,T,,,,,T
98,99,2016,42.9677924,75.881276,,M,62.5,,,,T,S,S,,,S,,,,,,,M,S,S,,T,,,,,,,,,,,,,T,,T,S,,,,,,S,,
99,100,2016,42.9672178,75.880892,,M,62.5,,,,S,S,S,,,S,,,,,,,M,T,T,,T,,,,,,,,,,,,,,,S,T,,,,,,S,,
100,101,2016,42.967334,75.879929,,D,250.0,,,,M,,S,,T,S,,,,,,,M,,T,,,,,S,,,,,,,S,,,,,S,,,,T,,S,S,,
101,102,2016,42.9673922,75.8787366,,D,250.0,,,,M,T,S,,S,,,,,,,,D,,S,,T,,,,,S,,,,,S,,,T,,S,,,,T,,T,,,
102,103,2016,42.9675851,75.8774752,,S,13.0,,,,,S,T,,,,,,,,,,S,T,T,,,,,,,,,,,S,,,,,,,,,,,,T,T,,
103,104,2016,42.9677963,75.8766177,,S,13.0,,,,,S,T,,,T,,,,,,,S,S,T,,,,,,,,,,,S,,,,,,T,,,,,,,T,,
104,105,2016,42.967126,75.876386,,S,13.0,,,,T,S,T,,,S,,,,,,,S,,T,T,T,,,,,,,,,T,,,,,,T,,,,,,,,,
105,106,2016,42.9669547,75.8776315,,M,62.5,,,,,S,,,T,,,,,,,,S,S,T,,T,,,,,,,,,S,S,,T,,,,,,,,,S,T,,
106,107,2016,42.9666414,75.8786547,,M,62.5,,,,S,S,S,,T,,,,,,,,S,,S,,S,,,T,,,,,,,S,,S,,,,S,,,S,S,S,S,S,
107,108,2016,42.9665132,75.8797,,M,62.5,,,,S,S,S,,T,,,,,,,,S,T,,,T,,,,,,,,,,,,S,,,S,,,,S,,T,S,,
108,109,2016,42.9662921,75.8806225,,S,13.0,,,,T,S,T,,,S,,,,,,,S,S,T,,T,,,,,,,,,,,,,,,,,,,,,,T,,
109,110,2016,42.9656107,75.8804896,,S,13.0,,,,T,S,T,,,T,,,,,,,S,T,T,,,,,,,T,,,,,T,,,T,,,T,,,,,,T,,
110,111,2016,42.9656859,75.8793787,,M,62.5,,,,,S,T,,S,S,,,,,,,M,T,,S,T,,,T,,,,,,,,,T,,,S,,,,T,,S,T,,
111,112,2016,42.9659134,75.8780624,,S,13.0,,,,S,T,,,T,,,,,,,,S,,T,,S,,,T,,,,,,,,,,T,,T,,,,,,T,,,
112,113,2016,42.9661259,75.8768841,,M,62.5,,,,T,S,,,T,T,,,,,,,M,S,T,,T,,,,,,,,,,S,,,T,,,,,,,,,S,,
113,114,2016,42.9663321,75.8760186,,M,37.75,,,,T,S,S,,,S,,,,,,,S,T,T,,,,,,,,,,,T,,,,,,,,,,,,,S,,
114,115,2016,42.9657158,75.8754783,,M,37.75,,,,,S,T,,,S,,,,,,,M,T,S,,,,,,,,,,,,,,,,,,,,,,,,T,,
115,116,2016,42.9655924,75.8764797,,S,13.0,,,,S,S,T,,,,,,,,,,S,,T,,S,,,,,,,,,,,,T,T,,,,,,,T,T,,,
116,117,2016,42.9651539,75.8778159,,M,62.5,,,,M,,T,,T,,,,,,,,M,,T,,S,,,,,,,,,,,,,T,,S,,,,S,,,T,,
117,118,2016,42.9648903,75.8788614,,M,62.5,,,,S,T,,,S,T,,,,,,,M,,,,,,,T,,,,,,,S,,S,,,T,,,,T,,T,T,,
118,119,2016,42.9646217,75.8798919,,M,62.5,,,,S,S,S,,,T,,,,,,,S,T,T,,S,,,,,,,,,,,,,,,S,,,,,,,T,,
119,120,2016,42.9638469,75.8796666,,S,13.0,,,,T,S,T,,,T,,,,,,,T,,,,T,,,,,,,,,,,,,,,T,,,,,,,,,
120,121,2016,42.9639872,75.8786539,,M,62.5,,,,S,S,T,,S,,,,,,,,S,,,,T,,,,,,,,,,S,,,,,S,,,,T,,S,S,,
121,122,2016,42.9640562,75.8771422,,T,0.5,,,,T,,T,,,,,,,,,,T,,T,,T,,,,,,,,,,,,,T,,T,,,,,,,,,
122,123,2016,42.9644194,75.875574,,T,0.5,,,,T,T,,,,,,,,,,,T,T,,,T,,,,,,,,,,T,,,T,,T,,,,,,,,,
123,124,2016,42.9646037,75.8746784,,D,156.25,,,,,,S,,,S,,,,,,,D,,T,,,,,,,,,,,,,,,T,,,,,,,,,T,,
124,125,2016,42.9639509,75.8739917,,S,6.75,,,,,T,T,,,T,,,,,,,S,,T,,,,,,,,,,,,,,,T,,,,,,,,,T,,
125,126,2016,42.963495,75.8750705,,S,13.0,,,,S,T,,,,,,,,T,,,T,T,T,,S,,,S,,,,,,,,,,,,T,,,,,,,,,
126,127,2016,42.963,75.8769,,M,31.5,,,,S,,,,,,,,,,,,S,,S,,,,,S,,,,,,,,,,,,,,,,,,,,,
127,128,2016,42.962612,75.878214,,M,62.5,,,,T,S,T,,S,T,,,,,,,M,,,,,,,,,,,,,,S,,S,,,T,,,,T,,S,T,,
128,129,2016,42.9625696,75.8789486,,M,62.5,,,,,S,,,,,,,,,,,M,T,,,,,,,,S,,,,,S,,,,,T,,,,,,,T,,
129,130,2016,42.9617547,75.8787332,,M,62.5,,,,T,S,T,,T,T,,,,,,,S,T,T,,S,S,,,,,,,,S,S,,,,,T,T,,,T,,S,,,
130,131,2016,42.9619178,75.877767,,D,250.0,,,,M,S,S,,T,,,,,,,,D,,S,,,,,T,,,,,,,S,,,,,S,,,,S,,S,S,,T
131,132,2016,42.9623696,75.8761069,,T,0.5,,,,T,,,,,,,,,,,,T,,T,,,,,T,,,,,,,,,,,,T,,,,,,,,,
132,133,2016,42.9629026,75.8743124,,S,13.0,,,,S,T,T,,,T,,,,T,,,T,,S,,S,,,,,,,,,,,,T,T,,T,,,,,,,,,
133,134,2016,42.963178,75.8734217,,M,62.5,,,,,T,S,,,S,,,,,,,M,T,T,,T,,,,,,,,,,,,,T,,,,,,,,,S,,
134,135,2016,42.962491,75.8726693,,S,13.0,,,,T,S,,,,T,,,,,,,S,S,S,,T,,,,,,,,,T,,,,T,,,,,,,,,T,,
135,136,2016,42.9620143,75.8734742,,S,13.0,,,,S,,,,,,,,,T,,,T,,S,,T,,,,,,,,,,,,,,,T,,,,,,,T,,
136,137,2016,42.9615194,75.8756677,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,138,2016,42.961335,75.8771279,,M,62.5,,,,S,T,,,,,,,,,,,M,T,T,,,,,T,,,,,,,S,,,T,,S,,,,T,,T,S,,
138,139,2016,42.9611392,75.8783091,,M,62.5,,,,S,S,T,,,S,,,,,,,M,,T,,T,,,,,S,,,,,,,,,,,,,,,,,,,
139,140,2016,42.9604037,75.87813,,M,62.5,,,,T,S,T,,,T,,,,,,,S,S,T,,S,S,,,,,,,,S,T,,,,,T,T,,,,,,T,,
140,141,2016,42.9604313,75.877219,,M,62.5,,,,S,S,T,,T,T,,,,,S,,S,,T,,,,,,,,,,,,S,,T,,,,,,,T,,T,S,,
141,142,2016,42.95952,75.87643,,D,250.0,,,,M,T,,,,,,,,,,,D,,S,,,,,,,,,,,,,,,,,S,,,,,,,,,
142,143,2016,42.9592033,75.8775669,,M,62.5,,,,,S,T,,,T,,,,,,,S,S,S,,,S,,,,S,,,,S,,,T,,,T,,,,,,,S,,
143,144,2016,42.9577861,75.8771686,,S,13.0,,,,T,S,T,,,T,,,,,,,S,S,S,,,,,,,T,,,,,,,,,,T,,,,,,,T,,
144,145,2016,42.9580153,75.8757095,,D,250.0,,,,M,,S,,,T,,,,,,,D,,M,,,,,T,,,,,,,,,S,T,,S,,,,S,,,,,
145,146,2016,42.9570793,75.8755557,,D,250.0,,,,D,,T,,,,,,,,,,S,,S,,,,,S,,,,,,,,,,,,,,,,,,,S,,
146,147,2016,42.9564934,75.8765373,,S,13.0,,,,,S,T,,,T,,,,,,,S,T,,T,T,,,,,,,,,,,,,,,T,T,,,,,,,,
147,148,2016,42.9555737,75.8758508,,T,0.5,,,,,T,,,,T,,,,,,,T,T,T,,,,,,,,,,T,,,,,T,,T,,,,,,,T,,
148,149,2016,42.9553325,75.8751604,,S,13.0,,,,S,S,,,,T,,,,,,,S,,T,T,T,,,T,,,,,,,T,,,,,,,,,,,,T,,
149,150,2016,42.9543763,75.8752152,,S,6.75,,,,S,S,,,,,,,,,,,T,,T,,,,,,,,,,,,,,,,,T,,,,,,,,,
150,151,2016,42.9540917,75.8759959,,T,0.5,,,,,,,,,T,,,,,,,,T,,,,,,,,T,,,,,,,,,,,,,,,,,T,,
151,152,2016,42.95307,75.87635,,S,13.0,,,,T,T,T,,,S,,,,,,,S,T,T,,,,,,,,,,T,,,,,T,,,T,,,,,,T,,
152,153,2016,42.9528001,75.8755924,,M,62.5,,,,M,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,T,,,,,,,,,,,
153,154,2016,42.9517314,75.8756775,,M,37.75,,,,S,,,,,T,,,,,,,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,
154,155,2016,42.9515621,75.8770018,,S,13.0,,,,,T,T,,,T,,,,,,,S,,T,,,,,,,,,,T,,,,,,,,,,,,,,T,,
155,156,2016,42.9501003,75.87718,,M,62.5,,,,,S,S,,S,,,,,,,,S,T,S,,,,,,,,,,,S,S,,,,,,,,,,,,S,,
156,157,2016,42.9499453,75.8758167,,D,250.0,,,,D,,,,,,,,,,,,S,,S,,,,,S,,,T,,,,,,,T,,,,,,,,,,,
157,158,2016,42.9488451,75.8758542,,T,0.5,,,,,,,,,,,,,,,,T,,T,,,,,T,,,,,,,,,,,,,,,,,,,,,
158,159,2016,42.9485702,75.8773244,,M,62.5,,,,S,T,S,,,S,,,,,S,,M,,T,,,,,,,,,,,,S,,,,,T,T,,,,,,S,,
159,160,2016,42.9477748,75.8774691,,D,156.25,,,,S,S,S,,,S,,,,,S,,D,T,T,,,,,,,,,,,,T,,,,,S,,,,,,,T,,
160,161,2016,42.9475917,75.8758985,,D,131.5,,,,D,,,,,,,,,,,,S,,S,,,,,T,,,,,,,,,,,,,,,,,,,S,,
161,162,2016,42.9466809,75.8757081,,M,37.75,,,,M,,,,,,,,,,,,T,,T,,,,,S,,,,,,,,,,,,,,,,,,,,,
162,163,2016,42.9463853,75.876704,,S,13.0,,,,T,S,S,,,T,,,,,,,S,T,S,,,,,,,,,,,T,T,,T,,,T,,,,,,,T,,
163,164,2016,42.945527,75.8762902,,M,62.5,,,,T,S,T,,,S,,,,,,,M,S,S,,,,,,,,,,,,T,,,,,,,,,,,,S,,
164,165,2016,42.9453926,75.8754122,,T,0.5,,,,T,,,,,,,,,,,,,,T,,,,,T,,,,,,,,,,,,,,,,,,,,,
165,166,2016,42.9445793,75.8752376,,S,6.75,,,,S,,,,,,,,,,T,,,,,,,,,S,,,,,,,,,T,,,,,,,,,,T,,
166,167,2016,42.9444195,75.8759834,,M,62.5,,,,,S,T,,,S,,,,,,,M,S,T,,,,,,,,,,,,,,,T,,,T,,,,,,S,,
167,168,2016,42.9432615,75.8759196,,M,62.5,,,,,S,,,,S,,,,,,,M,S,T,,,,,,,,,,,S,,,,T,,,,,,,,,T,,
168,169,2016,42.9429981,75.8750043,,D,250.0,,,,D,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,170,2016,42.9418304,75.8747106,,D,156.25,,,,M,,,,,,,,,,,,M,,T,,,,,S,,S,,,,,,,,,,,,,,,,,S,,
170,171,2016,42.9414247,75.875708,,M,62.5,,,,T,S,T,,,S,,,,,,,M,S,S,,,,,,,,,,T,,S,,,,,,,,,,,,T,,
171,172,2016,42.9401233,75.8753818,,D,250.0,,,,M,T,T,,,S,,,,,,,D,,T,,,,,,,,,,,,S,,S,,,S,T,,,,,,S,,
172,173,2016,42.9399862,75.8747074,,D,156.25,,,,M,,,,,,,,,,,,M,,,,,,,,,,,,,,,,,,,T,,,,,,,T,,
173,174,2016,42.9383104,75.8745134,,M,62.5,,,,M,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,T,,
174,175,2016,42.937828,75.8748873,,M,62.5,,,,T,,S,,,S,,,,,,,M,,T,,,,,,,,,,,,S,,,,,T,S,,,,,,S,,
175,176,2016,42.936529,75.8745377,,D,250.0,,,,D,,S,,,T,,,,,,,M,,T,,,,,,,,,,,,,,,,,S,,,,,,,S,,
176,177,2016,42.9356912,75.8742594,,D,250.0,,,,D,,S,,,,,,,,,,D,,T,,,,,,,,,,,,T,,,,,S,,,,,,,S,,
177,178,2016,42.9350748,75.8740183,,M,37.75,,,,S,T,T,,,T,,,,,,,S,,,,,,,,,,,,,,,,,,,T,,,,,,,T,,
178,179,2016,42.9340912,75.8736567,,D,250.0,,,,D,T,S,,,T,,,,,M,,M,,,,,,,,,,,,,,T,,,,,T,,,,,,,S,,
179,180,2016,42.933034,75.8731804,,S,13.0,,,,T,T,T,,T,T,,,,,,,S,,T,,,,,,,T,,,,T,,,,,,,,,,,,,T,,
180,181,2016,42.9319435,75.8729477,,M,62.5,,,,,M,,,,,,,,,,,S,,,,,,,,,S,,,,S,,,,,,,,,,,,,,,
181,182,2016,42.9310224,75.8731385,,M,62.5,,,,S,S,S,,,S,,,,,S,,M,,T,,,,,,,S,,,,,,,,T,,S,T,,,,,,T,,
182,183,2016,42.929687,75.8735046,,S,13.0,,,,T,S,T,,,T,,,,,,,S,,,,,,,,,,,,,T,,,T,,,T,,,,,,,T,,
183,184,2016,42.9281775,75.8728412,,M,37.75,,,,T,,S,,,T,,,,,T,,S,,S,,,,,,,S,,,,,T,,T,,,T,T,,,,,,T,,
184,185,2016,42.9265321,75.872124,,M,37.75,,,,S,T,T,,,T,,,,,,,M,T,T,,T,,,,,,,,,T,T,,T,,,S,T,,,,,,T,,
185,186,2016,42.9257155,75.8719777,,M,62.5,,,,S,S,S,,S,,,,,,S,,S,,S,,T,,,,,S,,,,,S,,,,,T,S,,,,,,S,,
186,187,2016,42.9251137,75.871625,,M,62.5,,,,T,S,S,,,S,,,,,S,,M,,S,,T,,,T,,S,,,,T,,,,,,S,T,,,,,,S,,
187,188,2016,42.9247432,75.8713105,,M,37.75,,,,S,S,S,,,S,,,,,,,S,S,T,,S,,,,,,,,,,T,,,,,T,T,,,T,,,T,,
188,189,2016,42.9247633,75.8705188,,S,13.0,,,,T,S,S,,,T,,,,,T,,T,,T,,S,,,,,,,,,T,,,,,,T,S,,,,,,T,,
189,190,2016,42.9248473,75.8697053,,S,13.0,,,,,T,S,,,T,,,,,,,S,T,T,,T,,,,,,,,,,,,,T,,T,T,,,,,,T,,
190,191,2016,42.9249537,75.8691506,,S,13.0,,,,T,S,T,,,,,,,T,,,T,T,T,,T,,,,,,,,,,,,,T,,T,,,,,,,,,
191,192,2016,42.925335,75.8685134,,S,6.75,,,,T,S,,,,,,,,,,,,T,T,,,,,,,,,,,,,,,,,T,,,,,,,,,
192,193,2016,42.9254278,75.8691747,,M,37.75,,,,T,M,T,,,,,,,,,,S,T,T,,,,,,,,,,,S,,,,,,T,,,,,,,T,,
193,194,2016,42.9253384,75.8702124,,M,37.75,,,,S,T,S,,,,,,,T,,,S,,,,,,,T,,,T,,,,,,S,,,S,,,,,,,T,,
194,195,2016,42.9251966,75.8708516,,M,62.5,,,,S,T,S,,,T,,,,T,T,,S,,T,,T,,,S,,S,T,,,,,,,,,S,T,,,,,,S,,
195,196,2016,42.9255932,75.8712796,,M,62.5,,,,S,T,S,,,S,,,,T,S,,S,,,,,,,S,,S,,,,,S,,,,,S,T,,,,,,S,,
196,197,2016,42.9258669,75.8704864,,D,156.25,,,,D,,S,,,,,,,,,,M,,T,,,,,,,,,,,,S,,T,,,S,,,,,,,S,,
197,198,2016,42.9260443,75.8693318,,D,250.0,,,,D,,S,,,S,,,,,,,M,,T,,,,,,,,,,,,,,S,,,S,,,,,,,S,,
198,199,2016,42.926159,75.8680249,,S,6.75,,,,,S,,,,,,,,,,,,T,T,,,,,,,,,,,S,,,,,,,,,,,,,,,
199,200,2016,42.9266074,75.8672421,,S,6.75,,,,,S,,,,T,,,,,,,S,T,T,,,,,,,,,,,S,,,,,,T,T,,,,,,T,,
200,201,2016,42.9268322,75.8681775,,M,62.5,,,,S,,T,,,,,,,,,,S,,,,,,,,,,,,,,S,,,,,T,,,,,,,M,,
201,202,2016,42.9267355,75.8690874,,S,13.0,,,,,T,,,,,,,,,,,,,,,,,,S,,,,,,,,,,,,,,,,,,,,,
