,Sample_Point_(SP),Year,Date,Rake_toss_#,Latitude,Longitude,Depth,Rake_Abundance,PERCENT,Alisma_gramineum,Benthic_Filamentous_Algae,Callitriche_hermaphroditica,Ceratophyllum_demersum,Chara_vulgaris,Elodea_sp.,Floating_Filamentous_Algae,Fontinalis_sp.,Heteranthera_dubia,Hydrocharis_morsus-ranae,Hypericum_ellipticum,Juncus_sp.,Lemna_minor,Lemna_trisulca,Ludwigia_sp.,Megalodonta_beckii,Myriophyllum_sibiricum,Myriophyllum_spicatum,Najas_flexilis,Najas_guadalupensis,Nitella_flexilis,Nitellopsis_obtusa,Nuphar_variegata,Nymphaea_odorata,Pithophora_sp.,Polygonum_amphibium,Potamogeton_amplifolius,Potamogeton_crispus,Potamogeton_crispus_turions,Potamogeton_foliosus,Potamogeton_gramineus,Potamogeton_illinoensis,Potamogeton_praelongus,Potamogeton_pusillus,Potamogeton_richardsonii,Potamogeton_zosteriformis,Ranunculus_trichophyllus,Riccia_fluitans,Spirodela_polyrhiza,Stuckenia_pectinata,Stuckenia_vaginata,Utricularia_vulgaris,Vallisneria_americana,Wolffia_columbiana,Zannichellia_palustris,Zosterella_dubia,Abundance_calcs
366,184,2017,,1.0,42.9281775,75.8728412,1.3,S,100.01,,,,3.0,40.0,10.0,,,1.0,,,,,,,25.0,,2.0,0.01,2.0,,,,,5.0,,,,,,,5.0,,,,4.0,,,,,,,3,,,,
367,184,2017,,2.0,42.9281775,75.8728412,1.3,S,100.0,,,,2.0,5.0,60.0,,,,,,,,,,2.0,,3.0,,5.0,,,,,3.0,,,,,,,10.0,,2.0,,5.0,,,,,,,3,,,,
368,185,2017,,1.0,42.9265321,75.872124,1.2,S,100.01,,,,2.0,72.0,10.0,,,1.0,,,,,,,,,0.01,,2.0,,,,,,,,,,,5.0,3.0,,,,2.0,2.0,,,,,,1,,,,
369,185,2017,,2.0,42.9265321,75.872124,1.2,S,100.03000000000002,,,,5.0,62.0,15.0,,,,,,,,,,3.0,,0.01,,5.0,,1.0,,,0.01,,,,,,,,,,2.0,,5.0,,,2.0,,,0.01,,,,
370,186,2017,,1.0,42.9257155,75.8719777,0.9,S,100.02,,,,,75.0,3.0,,,,,,,,,,,,3.0,,2.0,,2.0,,,,,,,,,10.0,,,,,,0.01,,,0.01,,,5,,,,
371,186,2017,,2.0,42.9257155,75.8719777,0.9,S,100.01,,,,1.0,70.0,5.0,,,2.0,,,,,,,,,10.0,,,,1.0,,,,,,,,,5.0,,,0.01,,2.0,2.0,,,1.0,,,1,,,,
372,187,2017,,1.0,42.9251137,75.871625,1.0,S,100.02,,,,2.0,35.0,34.0,,,,,,,,,,1.0,,,,3.0,,2.0,,,,,15.0,,,,0.01,,,,,0.01,5.0,,,,,,3,,,,
373,187,2017,,2.0,42.9251137,75.871625,1.0,S,100.03000000000002,,,,0.01,10.0,68.0,,,3.0,,,,,,,0.01,,1.0,,1.0,,2.0,,,2.0,,3.0,,,,,3.0,,0.01,,2.0,5.0,,,,,,,,,,
374,188,2017,,1.0,42.9247432,75.8713105,0.6,M,100.07000000000004,,,,20.0,0.01,63.0,,,0.01,,,,,,,1.0,,3.0,0.01,,,,,,5.0,,,0.01,,,,,,0.01,,5.0,3.0,,,0.01,,,0.01,,,,
375,188,2017,,2.0,42.9247432,75.8713105,0.6,M,100.04000000000002,,,,30.0,,42.0,,,,,,,,0.01,,1.0,,5.0,3.0,0.01,,,,,1.0,,2.0,,,,0.01,,0.01,,,5.0,10.0,,,1.0,,,,,,,
376,189,2017,,1.0,42.9247633,75.8705188,0.6,S,100.02,,,,2.0,10.0,63.0,,,,,,,,,,,,3.0,,3.0,,5.0,,,2.0,,,0.01,,,,,,0.01,,2.0,2.0,,,3.0,,,5,,,,
377,189,2017,,2.0,42.9247633,75.8705188,0.6,M,100.02,,,,5.0,2.0,64.0,,,1.0,,,,,,,,,5.0,,3.0,,10.0,,,,,,,,,,0.01,,,,5.0,3.0,,,2.0,,,0.01,,,,
378,190,2017,,1.0,42.9248473,75.8697053,0.6,S,100.01,,,,0.01,62.0,10.0,,,,,,,,,,,,1.0,3.0,1.0,,2.0,,,,,,,,,,,,,,5.0,15.0,,,1.0,,,,,,,
379,190,2017,,2.0,42.9248473,75.8697053,0.6,M,100.04,,,,1.0,30.0,10.0,,,0.01,,,,,,,,,5.0,1.0,3.0,,1.0,,,,,,,,,,0.01,1.0,0.01,,10.0,33.0,,,5.0,,,0.01,,,,
380,191,2017,,1.0,42.9249537,75.8691506,0.5,S,100.01,,,,5.0,2.0,20.0,,,1.0,,,,,0.01,,2.0,,10.0,1.0,2.0,,5.0,,,,,,,,,,,,2.0,,2.0,47.0,,,1.0,,,,,,,
381,191,2017,,2.0,42.9249537,75.8691506,0.5,M,100.05,,,,1.0,2.0,57.0,,,,,,,,0.01,,,,10.0,3.0,0.01,,15.0,,,,,,,,,0.01,,,2.0,,0.01,10.0,,,0.01,,,,,,,
382,192,2017,,1.0,42.925335,75.8685134,0.4,T,100.0,,,,10.0,80.0,,,,,,,,,,,,,,5.0,2.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
383,192,2017,,2.0,42.925335,75.8685134,0.4,T,100.0,,,,,85.0,,,,,,,,,,,,,,10.0,1.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
384,193,2017,,1.0,42.9254278,75.8691747,0.7,S,100.01,,,,,75.0,0.01,,,,,,,,,,,,,5.0,,,5.0,,,,,,,,,13.0,,,,,2.0,,,,,,,,,,,
385,193,2017,,2.0,42.9254278,75.8691747,0.7,S,100.02,,,,,71.0,,,0.01,,,,,,,,,,5.0,2.0,2.0,,3.0,,,,,,,,,15.0,,,,,0.01,,,,,,,2,,,,
386,194,2017,,1.0,42.9253384,75.8702124,1.5,M,100.02,,,,5.0,,70.0,,,5.0,,,,,,,,,5.0,,5.0,,0.01,,,,,,,,,,,5.0,,,3.0,2.0,,,,,,0.01,,,,
387,194,2017,,2.0,42.9253384,75.8702124,1.5,M,100.05000000000004,,,,10.0,,65.0,,,2.0,,,,,0.01,,1.0,,10.0,,4.0,,0.01,,,,,,0.01,,,,0.01,,,,5.0,3.0,,,,,,0.01,,,,
388,195,2017,,1.0,42.9251966,75.8708516,1.4,S,100.01,,,,20.0,,46.0,,,,,,,,0.01,,3.0,,1.0,,2.0,,,,,15.0,,,,,,,,,,,1.0,2.0,,,,,,10,,,,
389,195,2017,,2.0,42.9251966,75.8708516,1.4,M,100.05000000000004,,,,1.0,0.01,75.0,,,,,,,,,,1.0,,8.0,,0.01,,0.01,,,2.0,,,,,,,0.01,,,,10.0,0.01,,,,,,3,,,,
390,196,2017,,1.0,42.9255932,75.8712796,1.7,M,100.0,,,,5.0,,3.0,,,,,,,,,,1.0,,5.0,,,,,,,5.0,,51.0,,,,,10.0,2.0,,,15.0,,,,,,,3,,,,
391,196,2017,,2.0,42.9255932,75.8712796,1.7,M,100.0,,,,10.0,,5.0,,,,,,,,,,2.0,,5.0,,,,,,,5.0,,40.0,,,,,,3.0,,,25.0,3.0,,,,,,2,,,,
392,197,2017,,1.0,42.9258669,75.8704864,3.0,M,100.01,,,,66.0,,,,,,,,,,,,,,3.0,,,,,,,0.01,,,1.0,,,,,5.0,,,5.0,,,,,,,20,,,,
393,197,2017,,2.0,42.9258669,75.8704864,3.0,M,100.02,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,20.0,4.0,0.01,,5.0,1.0,,,,,,,,,,
394,198,2017,,1.0,42.9260443,75.8693318,2.2,M,100.05,,,,60.0,,0.01,,,,,,,,0.01,,,,25.0,,0.01,,,,,,,,0.01,,,,,,,,15.0,,,,,,,0.01,,,,
395,198,2017,,2.0,42.9260443,75.8693318,2.2,M,100.03,,,,38.0,,2.0,,,,,,,,,,,,10.0,,0.01,,,,,,,,0.01,,,,,,,,50.0,,,,,,,0.01,,,,
396,199,2017,,1.0,42.926159,75.8680249,0.7,S,100.01,,,,0.01,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,2.0,,,,,,,
397,199,2017,,2.0,42.926159,75.8680249,0.7,S,100.01,,,,3.0,81.0,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,10.0,,,,,0.01,,,,,,,,,,,
398,200,2017,,1.0,42.9266074,75.8672421,0.7,S,100.0,,,,,86.0,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,
399,200,2017,,2.0,42.9266074,75.8672421,0.7,S,100.01,,,,2.0,80.0,2.0,,,,,,,,,,,,2.0,1.0,1.0,,0.01,,,,,,,,,5.0,,,,,,5.0,,,,,,2,,,,
400,201,2017,,1.0,42.9268322,75.8681775,2.4,M,100.01,,,,36.0,,0.01,,,,,,,,,,,,5.0,,,,,,,,,,,,,,50.0,,,,1.0,,,,5.0,,,3,,,,
401,201,2017,,2.0,42.9268322,75.8681775,2.4,M,100.01,,,,50.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,0.01,,,,4.0,,,1,,,,
402,202,2017,,1.0,42.9267355,75.8690874,7.4,T,100.0,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,202,2017,,2.0,42.9267355,75.8690874,7.4,O,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,203,2017,,1.0,42.9265298,75.8704384,8.0,O,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,203,2017,,2.0,42.9265298,75.8704384,8.0,O,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,204,2017,,1.0,42.9263044,75.8713266,2.8,M,100.03000000000002,,,,80.0,,0.01,,,,,,,,,,,,5.0,,,,,,,,,,,,,,0.01,5.0,,,10.0,,,,,,,0.01,,,,
407,204,2017,,2.0,42.9263044,75.8713266,2.8,M,100.02,,,,55.0,,0.01,,,,,,,,,,,,5.0,,,,,,,,,,0.01,,,,15.0,20.0,,,3.0,,,,,,,2,,,,
408,205,2017,,1.0,42.9269275,75.8666465,0.8,T,100.0,,,,,81.0,,,,2.0,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,2,,,,
409,205,2017,,2.0,42.9269275,75.8666465,0.8,T,100.0,,,,1.0,76.0,,,,5.0,,,,,,,,,2.0,5.0,5.0,,,,,,,,,,,3.0,,,,,,1.0,,,,,,2,,,,
410,206,2017,,1.0,42.9272609,75.8656704,0.9,S,100.0,,,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
411,206,2017,,2.0,42.9272609,75.8656704,0.9,M,100.01,,,,,80.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,0.01,1.0,,,,,,,,,,
412,207,2017,,1.0,42.9272046,75.8647433,0.8,S,100.01,,,,,97.0,,,,,,,,,,,,,,0.01,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
413,207,2017,,2.0,42.9272046,75.8647433,0.8,S,100.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,
414,208,2017,,1.0,42.9276074,75.8635928,0.8,S,100.0,,,,1.0,55.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,
415,208,2017,,2.0,42.9276074,75.8635928,0.8,S,100.0,,,,,60.0,2.0,,,,,,,,,,,,,13.0,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,
416,209,2017,,1.0,42.9280257,75.8624262,0.9,T,100.0,,,,,75.0,3.0,,,,,,,,,,,,3.0,3.0,1.0,,,,,,,,,,,14.0,,,,,1.0,,,,,,,,,,,
417,209,2017,,2.0,42.9280257,75.8624262,0.9,T,100.0,,,,,85.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,10.0,,,,,1.0,,,,2.0,,,,,,,
418,210,2017,,1.0,42.928736,75.8616444,0.6,T,100.0,,,,,65.0,8.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,18.0,,2.0,,,1.0,,,,3.0,,,1,,,,
419,210,2017,,2.0,42.928736,75.8616444,0.6,T,100.0,,,,2.0,76.0,10.0,,,,,,,,,,,,1.0,4.0,,,1.0,,,,,,,,,5.0,,,,,1.0,,,,,,,,,,,
420,211,2017,,1.0,42.9290362,75.8609012,0.8,S,100.01,,,,,40.0,5.0,,,,,,,,,,,,,,,,35.0,,,,,,0.01,,,,,,,,5.0,10.0,,,3.0,,,2,,,,
421,211,2017,,2.0,42.9290362,75.8609012,0.8,M,100.04000000000002,,,,0.01,25.0,5.0,,,,,,,,,,,,,,,,40.0,,,,,,,,,0.01,,,0.01,,5.0,25.0,,,0.01,,,,,,,
422,212,2017,,1.0,42.9298672,75.8616947,1.5,S,100.0,,,,3.0,83.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,4.0,1,,,,
423,212,2017,,2.0,42.9298672,75.8616947,1.5,M,100.02,,,,10.0,77.0,3.0,,0.01,,,,,,,,,,,,5.0,,0.01,,,,,,,,,,,,,,3.0,,,,,,,2,,,,
424,213,2017,,1.0,42.9293169,75.8617527,1.3,S,100.02,,,,0.01,80.0,5.0,,,,,,,,,,3.0,,,,,,10.0,,,,,,,,,,2.0,,,,0.01,,,,,,,,,,,
425,213,2017,,2.0,42.9293169,75.8617527,1.3,S,100.0,,,,,60.0,15.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,10.0,,,,,5.0,,,,,,,8,,,,
426,214,2017,,1.0,42.9286751,75.8622374,1.6,M,100.02,,,,,10.0,77.0,,,,,,,,,,,,,,2.0,,3.0,,,0.01,,,0.01,,,,,,,,5.0,1.0,,,,,,2,,,,
427,214,2017,,2.0,42.9286751,75.8622374,1.6,M,100.03000000000002,,,,3.0,3.0,79.0,,,,,,,,,,,,,,2.0,,0.01,,,0.01,,,0.01,,,,,,,,10.0,2.0,,,,,,1,,,,
428,215,2017,,1.0,42.9280719,75.8629649,1.0,S,100.02,,,,,97.0,0.01,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,0.01,,,,,,,,,,,
429,215,2017,,2.0,42.9280719,75.8629649,1.0,S,100.0,,,,,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,2.0,,,,,,,,,,,
430,216,2017,,1.0,42.9276304,75.8648623,1.1,S,100.03000000000002,,,,,90.0,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,10.0,,,,,0.01,,,,,,,,,,,
431,216,2017,,2.0,42.9276304,75.8648623,1.1,M,100.0,,,,,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,2.0,,,,,,,,,,,
432,217,2017,,1.0,42.9275007,75.8657391,1.4,M,100.0,,,,7.0,80.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,
433,217,2017,,2.0,42.9275007,75.8657391,1.4,S,100.0,,,,10.0,67.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,10.0,,,,,,,,,,,
434,218,2017,,1.0,42.9271591,75.8670809,1.4,S,100.0,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,
435,218,2017,,2.0,42.9271591,75.8670809,1.4,M,100.0,,,,5.0,59.0,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,
436,219,2017,,1.0,42.9272279,75.8679933,2.8,D,100.03000000000002,,,,34.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,60.0,2.0,,,0.01,,,,0.01,,,0.01,,,,
437,219,2017,,2.0,42.9272279,75.8679933,2.8,D,100.02,,,,30.0,,2.0,,,,,,,,,,,,0.01,,,,,,,,,,,,,,65.0,1.0,,,1.0,,,,1.0,,,0.01,,,,
438,220,2017,,1.0,42.9275721,75.8674094,2.0,M,100.03000000000002,,,,30.0,,1.0,,,,,,,,,,,,0.01,,0.01,,,,,3.0,,,,,,,50.0,12.0,,,0.01,,,,4.0,,,,,,,
439,220,2017,,2.0,42.9275721,75.8674094,2.0,M,100.0,,,,10.0,,10.0,,,,,,,,,,,,10.0,,2.0,,,,,5.0,,,,,,,50.0,,,,1.0,,,,10.0,,,2,,,,
440,221,2017,,1.0,42.9280387,75.8664313,1.7,M,100.01,,,,,89.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,1.0,,,,,,,0.01,,,,
441,221,2017,,2.0,42.9280387,75.8664313,1.7,S,100.02,,,,,82.0,0.01,,,,,,,,,,,,,4.0,,,,,,,,,,,,,10.0,,0.01,,2.0,,,,,,,2,,,,
442,222,2017,,1.0,42.9283663,75.8651808,1.6,M,100.03000000000002,,,,3.0,5.0,2.0,,,,,,,,,,,,,5.0,,,,,,,,0.01,,,,,67.0,,0.01,,5.0,,,,10.0,,3.0,0.01,,,,
443,222,2017,,2.0,42.9283663,75.8651808,1.6,M,100.01,,,,1.0,20.0,,,,0.01,,,,,,,1.0,,,10.0,,,,,,,,,,,,,58.0,,,,5.0,,,,5.0,,,,,,,
444,223,2017,,1.0,42.9283248,75.8640916,1.6,M,100.03,,,,2.0,45.0,1.0,,,5.0,,,,,,,5.0,,,0.01,2.0,,0.01,,,,,,,,,,5.0,3.0,0.01,,1.0,,,,30.0,,,1,,,,
445,223,2017,,2.0,42.9283248,75.8640916,1.6,M,100.02,,,,,30.0,10.0,,,1.0,,,,,,,3.0,,,1.0,1.0,,0.01,,,,,,,,,,10.0,3.0,0.01,2.0,2.0,,,,34.0,,,3,,,,
446,224,2017,,1.0,42.9287048,75.8633765,1.6,S,100.03,,,,2.0,0.01,15.0,,,,,,,,,,,,,,0.01,,,,,5.0,,,0.01,,,,3.0,,,,65.0,,,,5.0,,,5,,,,
447,224,2017,,2.0,42.9287048,75.8633765,1.6,M,100.03,,,,1.0,,2.0,,0.01,,,,,,,,,,,,0.01,,,,,5.0,,,,,,,20.0,,,,58.0,0.01,,,10.0,,2.0,2,,,,
448,225,2017,,1.0,42.9291712,75.8627416,1.5,S,100.02,,,,,5.0,35.0,,0.01,1.0,,,,,,,,,1.0,,36.0,,5.0,,,0.01,,10.0,,,,,,,,,,,,,,,2.0,5,,,,
449,225,2017,,2.0,42.9291712,75.8627416,1.5,M,100.04,,,,,0.01,50.0,,,0.01,,,,,,,,,,,27.0,,1.0,,,0.01,,3.0,0.01,,,,,,,,1.0,3.0,,,,,10.0,5,,,,
450,226,2017,,1.0,42.9298394,75.8625205,1.7,M,100.01,,,,3.0,,35.0,,,,,,,,,,5.0,,0.01,,10.0,,,,,,,,,,,,5.0,,,,37.0,2.0,,,2.0,,,1,,,,
451,226,2017,,2.0,42.9298394,75.8625205,1.7,S,100.03000000000002,,,,2.0,3.0,15.0,,,0.01,,,,,,,,,,0.01,45.0,,1.0,,,,,,,,,,2.0,,,5.0,20.0,4.0,,,3.0,,,0.01,,,,
452,227,2017,,1.0,42.9300432,75.8634367,1.9,M,100.03000000000002,,,,29.0,0.01,3.0,,0.01,,,,,,,,,,,,2.0,,,,,5.0,,,,,,,15.0,10.0,,,5.0,0.01,,,30.0,,,1,,,,
453,227,2017,,2.0,42.9300432,75.8634367,1.9,M,100.02,,,,10.0,,3.0,,0.01,1.0,,,,,,,2.0,,2.0,,0.01,,,,,3.0,,,,,,,5.0,,,,15.0,,,,57.0,,,2,,,,
454,228,2017,,1.0,42.9293931,75.863432,2.0,S,100.05,,,,0.01,1.0,3.0,,0.01,0.01,,,,,,,,,0.01,,2.0,,,,,5.0,,,0.01,,,,5.0,30.0,,,37.0,2.0,,,3.0,,2.0,10,,,,
455,228,2017,,2.0,42.9293931,75.863432,2.0,S,100.04,,,,0.01,2.0,5.0,,0.01,,,,,,,,,,0.01,,5.0,,,,,5.0,,,0.01,,,,1.0,15.0,,,58.0,,,,3.0,,3.0,3,,,,
456,229,2017,,1.0,42.9290467,75.8638968,1.6,M,100.02,,,,2.0,,5.0,,0.01,,,,,,,,1.0,,1.0,,0.01,,,,,5.0,,,,,,,10.0,5.0,,,51.0,,,,20.0,,,,,,,
457,229,2017,,2.0,42.9290467,75.8638968,1.6,M,100.02,,,,5.0,0.01,2.0,,0.01,,,,,,,,5.0,,,,,,,,,5.0,,,,,,,30.0,,,,40.0,,,,11.0,,,2,,,,
458,230,2017,,1.0,42.9287962,75.8645679,1.7,S,100.05,,,,20.0,5.0,2.0,,0.01,,,,,,,,5.0,,,0.01,0.01,,10.0,,,,,,,,,,46.0,,0.01,,10.0,,,,2.0,,,0.01,,,,
459,230,2017,,2.0,42.9287962,75.8645679,1.7,M,100.02,,,,32.0,5.0,,,,,,,,,,,,,,2.0,20.0,,1.0,,,,,,,,,,30.0,,0.01,,5.0,,,,5.0,,,0.01,,,,
460,231,2017,,1.0,42.9288844,75.8653688,1.7,M,100.03000000000002,,,,10.0,55.0,0.01,,,,,,,,,,,,,0.01,4.0,,,,,,,,,,,,25.0,,,,1.0,,,,5.0,,,0.01,,,,
461,231,2017,,2.0,42.9288844,75.8653688,1.7,S,100.01,,,,,76.0,,,,,,,,,,,,,,4.0,0.01,,,,,,,,,,,,10.0,,,,1.0,,,,5.0,,,4,,,,
462,232,2017,,1.0,42.92867,75.86616,1.7,S,100.0,,,,3.0,30.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,48.0,,3.0,10.0,3.0,,,,,,,,,,,
463,232,2017,,2.0,42.92867,75.86616,1.7,M,100.02,,,,10.0,10.0,3.0,,,,,,,,,,,,,2.0,0.01,,,,,,,,,,,,60.0,,0.01,10.0,2.0,,,,3.0,,,,,,,
464,233,2017,,1.0,42.9293157,75.8653118,2.9,M,100.02,,,,40.0,,2.0,,0.01,,,,,,,,,,,,,,,,,3.0,,,,,,,20.0,,,,5.0,,,,30.0,,,0.01,,,,
465,233,2017,,2.0,42.9293157,75.8653118,2.9,M,100.03,,,,40.0,,1.0,,0.01,,,,,,,,,,0.01,,,,,,,,,,,,,,10.0,,,,4.0,,,,45.0,,,0.01,,,,
466,234,2017,,1.0,42.9296609,75.8645246,2.0,M,100.02,,,,15.0,,4.0,,,,,,,,,,,,0.01,,,,,,,10.0,,,,,,,10.0,,,,15.0,,,,45.0,,1.0,0.01,,,,
467,234,2017,,2.0,42.9296609,75.8645246,2.0,M,100.02,,,,30.0,,0.01,,0.01,,,,,,,,,,1.0,,,,,,,9.0,,,,,,,30.0,,,,15.0,,,,15.0,,,,,,,
468,235,2017,,1.0,42.9302548,75.8641371,2.0,M,100.03,,,,35.0,,5.0,,0.01,,,,,,,,,,,,0.01,,,,,4.0,,,,,,,10.0,,0.01,,5.0,,,,40.0,,1.0,,,,,
469,235,2017,,2.0,42.9302548,75.8641371,2.0,M,100.01,,,,6.0,,10.0,,,,,,,,,,,,1.0,,3.0,,,,,10.0,,,,,,,10.0,,0.01,,5.0,,,,55.0,,,,,,,
470,236,2017,,1.0,42.930704,75.8634337,2.0,S,100.02,,,,2.0,,15.0,,0.01,,,,,,,,,,5.0,,0.01,,,,,5.0,,1.0,,,,,20.0,,,,35.0,,,,15.0,,,2,,,,
471,236,2017,,2.0,42.930704,75.8634337,2.0,M,100.01,,,,5.0,,3.0,,0.01,,,,,,,,,,1.0,,5.0,,,,,3.0,,,,,,,35.0,,,5.0,30.0,,,,10.0,,,3,,,,
472,237,2017,,1.0,42.9307769,75.8623902,2.0,M,100.02,,,,10.0,,5.0,,0.01,,,,,,,,10.0,,,,0.01,,,,,4.0,,50.0,,,,,15.0,,,,3.0,,,,,,,3,,,,
473,237,2017,,2.0,42.9307769,75.8623902,2.0,M,100.02,,,,5.0,,10.0,,,,,,,,,,54.0,,0.01,,0.01,,,,,,,10.0,,,,,10.0,,,,5.0,,,,2.0,,1.0,3,,,,
474,238,2017,,1.0,42.9308294,75.8616143,1.3,M,100.03000000000002,,,,1.0,92.0,2.0,,,,,,,,,,,,,,0.01,,2.0,,,,,,,,,,0.01,,,,0.01,,,,,,,3,,,,
475,238,2017,,2.0,42.9308294,75.8616143,1.3,M,100.01,,,,1.0,75.0,3.0,,,,,,,,,,,,,,,,0.01,,,,,,,,,,10.0,,,4.0,,5.0,,,,,,2,,,,
476,239,2017,,1.0,42.9310206,75.8620352,1.6,S,100.0,,,,10.0,70.0,5.0,,,,,,,,,,,,,,,,10.0,,,,,2.0,,,,,,,,,3.0,,,,,,,,,,,
477,239,2017,,2.0,42.9310206,75.8620352,1.6,S,100.0,,,,,20.0,7.0,,,,,,,,,,,,,,,,65.0,,,,,1.0,,,,,,,,,5.0,2.0,,,,,,,,,,
478,240,2017,,1.0,42.9311872,75.8629885,2.1,M,100.01,,,,1.0,,10.0,,0.01,,,,,,,,,,1.0,,3.0,,,,,5.0,,,,,,,10.0,,,,3.0,,,,65.0,,,2,,,,
479,240,2017,,2.0,42.9311872,75.8629885,2.1,M,100.0,,,,,,20.0,,,,,,,,,,,,,,3.0,,,,,5.0,,,,,,,10.0,,,,7.0,,,,50.0,,,5,,,,
480,241,2017,,1.0,42.9313612,75.8637149,3.7,M,100.01,,,,60.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.01,,,,37.0,,,1,,,,
481,241,2017,,2.0,42.9313612,75.8637149,3.7,M,100.0,,,,62.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,10.0,,,,2.0,,,,20.0,,,2,,,,
482,242,2017,,1.0,42.9319507,75.8633538,3.2,M,100.03000000000002,,,,70.0,,,,,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,,,2.0,,,,28.0,,,0.01,,,,
483,242,2017,,2.0,42.9319507,75.8633538,3.2,M,100.0,,,,64.0,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,5.0,,,,5.0,,,,20.0,,,3,,,,
484,243,2017,,1.0,42.9319545,75.8624648,2.0,M,100.01,,,,15.0,,5.0,,,,,,,,,,1.0,,2.0,,0.01,,,,,,,,,,,3.0,59.0,,,,10.0,,,,3.0,,,2,,,,
485,243,2017,,2.0,42.9319545,75.8624648,2.0,M,100.04,,,,10.0,,2.0,,,,,,,,,,0.01,,0.01,,0.01,,,,,,,,,,,5.0,65.0,,,,10.0,,,,8.0,,,0.01,,,,
486,244,2017,,1.0,42.9319412,75.861664,0.9,T,100.0,,,,5.0,56.0,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,10.0,,,,,5.0,,,,5.0,,15.0,1,,,,
487,244,2017,,2.0,42.9319412,75.861664,0.9,T,100.0,,,,,69.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,20.0,5.0,,1.0,,,,,,2.0,,,,,,,
488,245,2017,,1.0,42.9325091,75.8615757,1.0,T,100.0,,,,,80.0,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,15.0,3,,,,
489,245,2017,,2.0,42.9325091,75.8615757,1.0,S,100.0,,,,,63.0,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,25.0,1.0,,,,4.0,,,,,,,3,,,,
490,246,2017,,1.0,42.932662,75.8624227,2.1,M,100.01,,,,20.0,3.0,3.0,,,,,,,,,,2.0,,,,0.01,,5.0,,,,,,,,,,,,,,5.0,,,,57.0,,,5,,,,
491,246,2017,,2.0,42.932662,75.8624227,2.1,M,100.02,,,,10.0,1.0,5.0,,,,,,,,,,,,0.01,,2.0,,,,,0.01,,,,,,,15.0,,,2.0,5.0,,,,58.0,,,2,,,,
492,247,2017,,1.0,42.9326586,75.8630601,4.5,S,100.01,,,,15.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,53.0,15.0,,,2.0,,,,5.0,,,0.01,,,,
